question,answer
Kamusta ka na?,Mabuti naman ako.
Anong pangalan mo?,Ang pangalan ko ay nasa itaas
Saan ka galing?,Galing ako sa pinas.
Taga-saan ka?,Taga-pinas pala ako.
Paano ka pumunta dito?,Nag-commute ako.
Saan ang pinakamalapit na kainan?,Ang pinakamalapit na kainan ay nasa may bandang Jollibee.
May WiFi ba dito?,"Oo,  meron."
Gusto mo ba ng kape?,"Oo,  gusto ko ng kape."
Anong paborito mong pagkain dito?,Paborito ko ang lumpia or siomai.
Ano ang trabaho mo?,Ako ay currently looking for a job
Ano ang mga paborito mong lugar dito?,"Paborito ko ang cebu, bohol, and boracay"
Kailangan mo ba ng tulong?,"Hindi na, salamat."
Anong wika mo?,"Nagsasalita ako ng english, tagalog, and bisaya"
Saan mo gustong magpunta bukas?,Gusto kong pumunta sa ilocos or cagayan de oro
Ano ang gusto mong gawin dito?,Gusto ko na wala lang gawin haha
Saan tayo pupunta mamaya?,"Pupunta tayo sa Jollibee or chowking, ikaw bahala"
May kasama ka ba?,"Oo,  may kasama ako."
Anong mga tradition ang meron sa bansa mo?,"Sa bansa ko,  mayroong simba at marami pa"
Ano ang mga dapat kong subukan na pagkain dito?,Dapat mong subukan ang lechon
Paborito mo ba ang mainit o malamig na panahon?,Mas gusto ko ang hot na panahon.
what are your hobbies?,"wala, gusto ko lang matulog"
"Kamusta ka na?","Okay lang, and you?"
"Ano ang trip mo ngayon?","Chill lang, walang specific na trip."
"San tayo kakain mamaya?","Ikaw bahala, basta hindi fast food."
"Ano ang plano mo ngayong weekend?","Wala pa, depende sa mood."
"Gusto mo mag coffee break?","Sure, san maganda mag-coffee?"
"Ano ang balita?","Same old, same old. Ikaw?"
"Saan mo gusto mag-hangout?","Anywhere, basta malapit at chill."
"Ano ang suot mo today?","Casual lang, shirt at jeans."
"Gusto mo ba ng kahit ano?","Oo, kahit ano okay lang."
"May lakad ka mamaya?","Wala pa, libre lang mangamusta."
"Kelan ka uuwi?","Depende sa trabaho, baka late."
"Ano ang favorite mong local food?","Adobo, hands down."
"May pasok ka ba bukas?","Oo, weekdays lang off."
"Ano ang magandang gawin sa weekend?","Mag-mall, mag-movie, relax lang."
"Ano ang mga hobbies mo?","Netflix, reading, at kung ano-ano lang."
"Taga-saan ka sa Pilipinas?","Taga-Manila ako, ikaw?"
"Ano ang gusto mong maging pagkain mo ngayon?","Pasta sounds good, o kaya pizza."
